,temperature,time,np_gradient,fire
200,20.5,0.0,0.0,0
201,20.5,0.5,0.0,0
202,20.5,1.0,0.0,0
203,20.5,1.5,0.0,0
204,20.5,2.0,0.0,0
205,20.5,2.5,0.0,0
206,20.5,3.0,0.0,0
207,20.5,3.5,0.0,0
208,20.5,4.0,0.0,0
209,20.5,4.5,0.0,0
210,20.5,5.0,0.0,0
211,20.5,5.5,0.0,0
212,20.5,6.0,0.0,0
213,20.5,6.5,0.0,0
214,20.5,7.0,0.0,0
215,20.5,7.5,0.0,0
216,20.5,8.0,0.0,0
217,20.5,8.5,0.0,0
218,20.5,9.0,0.0,0
219,20.5,9.5,0.0,0
220,20.5,10.0,-0.125,0
221,20.25,10.5,0.0,0
222,20.5,11.0,0.125,0
223,20.5,11.5,0.0,0
224,20.5,12.0,0.0,0
225,20.5,12.5,0.0,0
226,20.5,13.0,0.0,0
227,20.5,13.5,0.0,0
228,20.5,14.0,0.0,0
229,20.5,14.5,0.0,0
230,20.5,15.0,0.0,0
231,20.5,15.5,0.0,0
232,20.5,16.0,0.0,0
233,20.5,16.5,0.0,0
234,20.5,17.0,0.0,0
235,20.5,17.5,0.0,0
236,20.5,18.0,0.0,0
237,20.5,18.5,0.0,0
238,20.5,19.0,0.0,0
239,20.5,19.5,0.0,0
240,20.5,20.0,0.0,0
241,20.5,20.5,0.0,0
242,20.5,21.0,0.0,0
243,20.5,21.5,0.0,0
244,20.5,22.0,0.0,0
245,20.5,22.5,0.0,0
246,20.5,23.0,0.0,0
247,20.5,23.5,0.0,0
248,20.5,24.0,0.125,0
249,20.75,24.5,0.625,0
250,21.75,25.0,1.5,0
251,23.75,25.5,1.75,0
252,25.25,26.0,1.5,0
253,26.75,26.5,1.25,0
254,27.75,27.0,1.0,0
255,28.75,27.5,0.875,0
256,29.5,28.0,0.75,0
257,30.25,28.5,0.625,0
258,30.75,29.0,0.5,0
259,31.25,29.5,0.375,0
260,31.5,30.0,0.25,0
261,31.75,30.5,0.25,0
262,32.0,31.0,0.125,0
263,32.0,31.5,0.0,0
264,32.0,32.0,0.125,0
265,32.25,32.5,0.125,0
266,32.25,33.0,0.0,0
267,32.25,33.5,0.0,0
268,32.25,34.0,0.0,0
269,32.25,34.5,0.0,0
270,32.25,35.0,0.0,0
271,32.25,35.5,-0.125,0
272,32.0,36.0,-0.125,0
273,32.0,36.5,0.0,0
274,32.0,37.0,-0.125,0
275,31.75,37.5,-0.125,0
276,31.75,38.0,0.0,0
277,31.75,38.5,0.0,0
278,31.75,39.0,0.0,0
279,31.75,39.5,0.25,0
280,32.25,40.0,0.25,0
281,32.25,40.5,0.25,0
282,32.75,41.0,0.375,0
283,33.0,41.5,0.375,0
284,33.5,42.0,0.5,0
285,34.0,42.5,0.375,0
286,34.25,43.0,0.375,0
287,34.75,43.5,0.5,0
288,35.25,44.0,0.375,0
289,35.5,44.5,0.25,0
290,35.75,45.0,0.25,0
291,36.0,45.5,0.25,0
292,36.25,46.0,0.125,0
293,36.25,46.5,0.125,0
294,36.5,47.0,0.125,0
295,36.5,47.5,0.0,0
296,36.5,48.0,0.0,0
297,36.5,48.5,0.0,0
298,36.5,49.0,0.0,0
299,36.5,49.5,0.0,0
300,36.5,50.0,0.0,0
301,36.5,50.5,0.0,0
302,36.5,51.0,-0.125,0
303,36.25,51.5,-0.125,0
304,36.25,52.0,0.0,0
305,36.25,52.5,0.0,0
306,36.25,53.0,-0.125,0
307,36.0,53.5,-0.25,0
308,35.75,54.0,-0.125,0
309,35.75,54.5,-0.125,0
310,35.5,55.0,-0.125,0
311,35.5,55.5,-0.125,0
312,35.25,56.0,-0.125,0
313,35.25,56.5,-0.125,0
314,35.0,57.0,-0.25,0
315,34.75,57.5,-0.125,0
316,34.75,58.0,-0.125,0
317,34.5,58.5,-0.25,0
318,34.25,59.0,-0.125,0
319,34.25,59.5,-0.125,0
320,34.0,60.0,-0.125,0
321,34.0,60.5,-0.125,0
322,33.75,61.0,-0.125,0
323,33.75,61.5,-0.125,0
324,33.5,62.0,-0.125,0
325,33.5,62.5,-0.125,0
326,33.25,63.0,0.125,0
327,33.75,63.5,1.25,0
328,35.75,64.0,2.25,1
329,38.25,64.5,2.75,1
330,41.25,65.0,3.125,1
331,44.5,65.5,3.875,1
332,49.0,66.0,4.5,1
333,53.5,66.5,4.625,1
334,58.25,67.0,4.625,1
335,62.75,67.5,4.875,1
336,68.0,68.0,5.375,1
337,73.5,68.5,5.125,1
338,78.25,69.0,4.0,1
339,81.5,69.5,3.875,1
340,86.0,70.0,4.5,1
341,90.5,70.5,4.125,1
342,94.25,71.0,3.875,1
343,98.25,71.5,3.75,1
344,101.75,72.0,3.5,1
345,105.25,72.5,3.0,1
346,107.75,73.0,3.25,1
347,111.75,73.5,3.375,1
348,114.5,74.0,2.625,1
349,117.0,74.5,2.375,1
350,119.25,75.0,2.25,1
351,121.5,75.5,2.375,1
352,124.0,76.0,2.25,1
353,126.0,76.5,1.75,1
354,127.5,77.0,1.75,1
355,129.5,77.5,2.0,1
356,131.5,78.0,2.125,1
357,133.75,78.5,2.125,1
358,135.75,79.0,2.25,1
359,138.25,79.5,2.5,1
360,140.75,80.0,2.625,1
361,143.5,80.5,2.75,1
362,146.25,81.0,3.0,1
363,149.5,81.5,3.5,1
364,153.25,82.0,3.5,1
365,156.5,82.5,3.375,1
